batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
32,110.16,8934.16,97.92,3.044493,31.09,3044.49,8,V100,4,32,80,YES,SUCCESS
32,235.01,8934.16,97.92,3.044493,31.09,3044.49,8,V100,4,32,80,YES,SUCCESS
32,470.02,8934.16,97.92,3.044493,31.09,3044.49,8,V100,4,32,80,YES,SUCCESS
32,88.13,4742.33,73.44,4.301686,58.57,4301.69,3,V100,8,24,80,NO,SUCCESS
32,73.44,4742.33,73.44,4.301686,58.57,4301.69,3,V100,8,24,80,NO,SUCCESS
